x,y
455.0894775390625,547
458.7562255859375,547
462.4229736328125,547
466.08984375,547
469.756591796875,547
473.42333984375,547
477.090087890625,547
480.7568359375,547
484.4194641113281,546.8889770507812
488.0343933105469,546.2852783203125
491.5912780761719,545.3964233398438
495.1006774902344,544.3344116210938
498.57086181640625,543.1504516601562
502.0073547363281,541.8720092773438
505.4134826660156,540.514404296875
508.7901611328125,539.08544921875
512.1376342773438,537.5886840820312
515.4525756835938,536.0216064453125
518.72802734375,534.373779296875
521.947021484375,532.6185913085938
525.067626953125,530.6944580078125
528.0843505859375,528.6106567382812
530.9985961914062,526.3858032226562
533.8138427734375,524.0366821289062
536.53857421875,521.583251953125
539.1864624023438,519.0469970703125
541.7752685546875,516.4503173828125
544.3248291015625,513.8150024414062
546.8574829101562,511.1634826660156
549.3941650390625,508.5157470703125
551.954833984375,505.8912353515625
554.55859375,503.3094787597656
556.90283203125,501.30084228515625
555.8823852539062,504.82275390625
554.8619384765625,508.3446350097656
553.8414916992188,511.8665466308594
552.821044921875,515.388427734375
551.800537109375,518.9104614257812
550.7800903320312,522.4323120117188
549.7596435546875,525.9542236328125
548.7391967773438,529.4761352539062
547.71875,532.998046875
546.6983032226562,536.5198974609375
545.6778564453125,540.0419311523438
544.6574096679688,543.5638427734375
543.636962890625,547.085693359375
542.6165161132812,550.6076049804688
541.5960693359375,554.1295166015625
540.5756225585938,557.6513671875
539.55517578125,561.1732788085938
538.53466796875,564.6953125
537.5142822265625,568.2171630859375
536.4938354492188,571.7390747070312
535.473388671875,575.260986328125
534.4529418945312,578.7828369140625
533.4324951171875,582.3047485351562
532.4120483398438,585.82666015625
531.3915405273438,589.3486328125
530.37109375,592.8705444335938
529.3506469726562,596.3924560546875
528.3302001953125,599.9143676757812
527.3097534179688,603.4362182617188
526.289306640625,606.9581298828125
525.2688598632812,610.4800415039062
524.2484130859375,614.0020141601562
523.2279663085938,617.52392578125
522.20751953125,621.0458374023438
520.7906494140625,624.0385131835938
517.1239013671875,624.029052734375
513.4571533203125,624.01953125
509.790283203125,624.010009765625
506.12353515625,624.0005493164062
502.4568176269531,623.9910278320312
498.7900695800781,623.9815673828125
495.12335205078125,623.9720458984375
491.45660400390625,623.9625244140625
487.78985595703125,623.9530639648438
484.1230163574219,623.9435424804688
480.4562683105469,623.93408203125
476.78955078125,623.924560546875
473.122802734375,623.9150390625
469.4560546875,623.9055786132812
465.7893371582031,623.8960571289062
462.1225891113281,623.8865356445312
458.45574951171875,623.8770751953125
454.78900146484375,623.8675537109375
451.12225341796875,623.8580932617188
447.4555358886719,623.8485717773438
443.7887878417969,623.8390502929688
440.1220703125,623.82958984375
436.455322265625,623.820068359375
432.7884521484375,623.8106079101562
429.1217346191406,623.8010864257812
425.4549865722656,623.7915649414062
421.78826904296875,623.7821044921875
418.12152099609375,623.7725830078125
414.45477294921875,623.7630615234375
410.7879333496094,623.7536010742188
407.1211853027344,623.7440795898438
403.4544677734375,623.734619140625
399.7877197265625,623.72509765625
396.1209716796875,623.715576171875
392.4542541503906,623.7061157226562
388.7875061035156,623.6965942382812
385.12066650390625,623.6871337890625
381.45391845703125,623.6776123046875
377.78717041015625,623.6680908203125
374.1204528808594,623.6586303710938
370.4537048339844,623.6491088867188
366.7869873046875,623.6395874023438
363.1202392578125,623.630126953125
359.453369140625,623.62060546875
355.7866516113281,623.6111450195312
352.1199035644531,623.6016235351562
348.45318603515625,623.5921020507812
344.78643798828125,623.5826416015625
341.11968994140625,623.5731201171875
337.4529724121094,623.5635986328125
333.7861022949219,623.5541381835938
330.119384765625,623.5446166992188
326.45263671875,623.53515625
322.785888671875,623.525634765625
319.1191711425781,623.51611328125
315.4524230957031,623.5066528320312
311.78558349609375,623.4971313476562
308.11883544921875,623.4876708984375
304.45208740234375,623.4781494140625
300.7853698730469,623.4686279296875
297.1186218261719,623.4591674804688
293.451904296875,623.4496459960938
289.78515625,623.4401245117188
286.1182861328125,623.4306640625
282.4515686035156,623.421142578125
278.7848205566406,623.4116821289062
275.11810302734375,623.4021606445312
271.45135498046875,623.3926391601562
267.78460693359375,623.3831787109375
264.1178894042969,623.3736572265625
260.4510192871094,623.3641967773438
256.7843017578125,623.3546752929688
253.1175537109375,623.3451538085938
249.45082092285156,623.335693359375
245.78408813476562,623.326171875
242.11734008789062,623.316650390625
238.4506072998047,623.3071899414062
234.78375244140625,623.2976684570312
231.1170196533203,623.2882080078125
227.45028686523438,623.2786865234375
223.78353881835938,623.2691650390625
220.11680603027344,623.2597045898438
216.4500732421875,623.2501831054688
212.78321838378906,623.2406616210938
209.11648559570312,623.231201171875
205.44973754882812,623.2216796875
201.7830047607422,623.2122192382812
198.11627197265625,623.2026977539062
194.4495391845703,623.1931762695312
190.78280639648438,623.1837158203125
187.11593627929688,623.1741943359375
183.44920349121094,623.1647338867188
179.782470703125,623.1552124023438
176.11573791503906,623.1456909179688
172.44900512695312,623.13623046875
168.78225708007812,623.126708984375
165.1155242919922,623.1171875
161.44866943359375,623.1077270507812
157.7820587158203,623.0982055664062
154.11532592773438,623.0887451171875
150.44833374023438,623.0792236328125
146.78160095214844,623.0697021484375
143.1148681640625,623.0602416992188
139.44813537597656,623.0507202148438
135.78140258789062,623.041259765625
132.11465454101562,623.03173828125
128.4479217529297,623.022216796875
124.78118896484375,623.0127563476562
121.11445617675781,623.0032348632812
117.44771575927734,622.9937133789062
117.76143646240234,621.6406860351562
120.78339385986328,619.5650024414062
123.90843200683594,617.6476440429688
127.10234832763672,615.8468017578125
130.33602905273438,614.11767578125
133.5825958251953,612.4131469726562
136.81797790527344,610.6880493164062
140.01678466796875,608.8958129882812
143.1504669189453,606.9922485351562
146.18496704101562,604.9348754882812
149.09359741210938,602.7030639648438
151.87838745117188,600.318115234375
154.5460968017578,597.80322265625
157.1025390625,595.1749267578125
159.55235290527344,592.447021484375
161.89974975585938,589.6303100585938
164.14768981933594,586.73388671875
166.29798889160156,583.7637329101562
168.35218811035156,580.7264404296875
170.31063842773438,577.6268920898438
172.17227172851562,574.4679565429688
173.93638610839844,571.2537841796875
175.5999298095703,567.986083984375
177.15945434570312,564.6678466796875
178.61068725585938,561.3007202148438
179.9465789794922,557.8860473632812
181.1595916748047,554.4260864257812
182.2401580810547,550.92236328125
183.17572021484375,547.3775024414062
183.95150756835938,543.7940673828125
184.5476837158203,540.1766357421875
184.87039184570312,536.5283203125
184.87220764160156,532.861572265625
184.8740234375,529.19482421875
184.87583923339844,525.528076171875
184.87765502929688,521.861328125
184.87945556640625,518.194580078125
184.8812713623047,514.52783203125
184.88308715820312,510.861083984375
184.88490295410156,507.1943359375
184.88671875,503.527587890625
184.88853454589844,499.86083984375
184.8903350830078,496.194091796875
184.89215087890625,492.52734375
184.8939666748047,488.8603515625
184.89578247070312,485.193603515625
184.89759826660156,481.52685546875
184.8994140625,477.860107421875
184.90122985839844,474.193359375
184.9030303955078,470.526611328125
184.90484619140625,466.85986328125
184.9066619873047,463.193115234375
184.90847778320312,459.5263671875
184.91029357910156,455.859619140625
184.912109375,452.19287109375
184.91390991210938,448.526123046875
184.9157257080078,444.859375
184.91754150390625,441.192626953125
184.9193572998047,437.525634765625
184.92117309570312,433.85888671875
184.92298889160156,430.192138671875
